StudentNo,The Godfather (1972),Taxi Driver (1976),Seinfeld (1989),The GoodFellas (1990),The Shawshank Redemption (1994),Pulp Fiction (1994),Cowboy Bebop (1998),One Piece (1999),Fight Club (1999),Shrek (2001),Zoolander (2001),Spirited Away (2001),The Lord of the Rings: The Return of the King (2003),Arrested Development (2003),The Office (2005),Naruto Shippuden (2007),Transformers (2007),The Dark Knight (2008),Iron Man (2008),Breaking Bad (2008),Despicable Me (2010),How to Train Your Dragon (2010),Hot Tub Time Machine (2010),The Social Network (2010),Inception (2010),Downton Abbey (2010),Black Mirror (2011),The Hunger Games (2012),21 Jump Street (2012),Frozen (2013),The Wolf of Wallstreet (2013),Attack on Titan (2013),The Grandmaster (2013),Boyhood (2014),Interstellar (2014),Guardians of the Galaxy (2014),The Hunger Games: Mockingjay - Part 1 (2014),Mad Max: Fury Road (2015),Fifty Shades of Grey (2015),Minions (2015),Furious 7 (2015),Stranger Things (2016),Zootopia (2016),Deadpool (2016),Moonlight (2016),Get Out (2017),It (2017),Beauty and the Beast (2017),Star Wars: Episode VIII - The Last Jedi (2017),Ozark (2017),Jurassic World: Fallen Kingdom (2018),Black Panther (2018),Deadpool 2 (2018),Burning (2018),Roma (2018),Game Night (2018),Bohemian Rhapsody (2018),1917 (2019),Parasite (2019),Knives Out (2019),Avengers: Endgame (2019),Star Wars: Episode IX - The Rise of Skywalker (2019),The Irishman (2019),The Lion King (2019),Euphoria (2019),Ne Zha (2019),Nomadland (2020),Sonic the Hedgehog (2020),Squid Game (2021),Dune (2021),No Time to Die (2021),"Hi, Mom (2021)",Judas and the Black Messiah (2021),F9 (2021),The Battle of Lake Changjin (2021),Raya and the Last Dragon (2021),The falls (2021),White Lotus (2021),Top gun: Maverick (2022),Inventing Anna (2022),Severance (2022),Avatar: The way of water (2022),M3gan (2022),Spy x Family (2022),House of the dragon (2022),RRR (2022)
2164768,,,2.0,,,3.0,,,,2.0,,,,3.0,5.0,,,,3.0,1.0,4.0,2.0,,,,2.0,,,3.0,5.0,3.0,,,,,5.0,,,,4.0,,,1.0,,,,,5.0,5.0,,,,,,,,2.0,,,,3.0,5.0,,2.0,1.0,,,,,,,,,,,,,,5.0,5.0,,,,,,
2168899,,,,4.0,5.0,3.0,,2.0,4.0,3.0,3.0,,,,4.0,,3.0,4.0,3.0,5.0,3.0,2.0,,3.0,5.0,,4.0,,,,3.0,,,4.0,4.0,,,,,,,,,4.0,5.0,5.0,4.0,,5.0,,,,4.0,,,,,5.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,,,,4.0,2.0,,,3.0,1.0,,,,4.0,5.0,,,,,,,
1979844,,,,4.0,5.0,,3.0,,5.0,4.0,,5.0,5.0,,5.0,,,5.0,4.0,,4.0,4.0,3.0,,4.0,1.0,5.0,4.0,,4.0,,5.0,,,3.0,5.0,4.0,,,1.0,,,2.0,4.0,,,,,1.0,,,4.0,,,,,,,,5.0,5.0,3.0,,,,,,5.0,4.0,4.0,,,,,,,,,,,,4.0,,,,
2278576,,,5.0,,,5.0,5.0,,,5.0,,,,3.0,2.0,4.0,,5.0,4.0,5.0,4.0,3.0,,,,,,,,3.0,,4.0,,,,4.0,,,,,,3.0,,4.0,,,4.0,,1.0,,,4.0,5.0,,,,,5.0,,,4.0,1.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,4.0,,
2176883,,,,,,,,,,3.0,,3.0,4.0,,,,,,4.0,,4.0,3.0,,,5.0,,,3.0,,2.0,,,,,3.0,4.0,3.0,,,3.0,,,3.0,,,,,,3.0,,,4.0,,,,,,,,5.0,4.0,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,
1677003,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,,2.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2220815,5.0,,,,,,5.0,2.0,3.0,4.0,4.0,5.0,2.0,,3.0,3.0,3.0,5.0,3.0,,3.0,3.0,,,5.0,,,3.0,,3.0,,1.0,,,5.0,3.0,3.0,,,3.0,,,2.0,4.0,,,,2.0,,,,3.0,,,,,,,,,1.0,,,,1.0,,,,3.0,,,,,,,3.0,,,3.0,,,,,5.0,,
2137528,,,,,,,3.0,1.0,4.0,1.0,4.0,5.0,,,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,,4.0,4.0,,2.0,3.0,,3.0,5.0,5.0,,,4.0,,3.0,3.0,,2.0,1.0,,5.0,,2.0,4.0,,2.0,,,3.0,4.0,,,,,,5.0,5.0,5.0,,,2.0,,,2.0,,,1.0,,4.0,,,,,,,3.0,,2.0,,4.0,,,,
2240672,,,,,,,,,,3.0,,,,,4.0,4.0,,,,5.0,3.0,3.0,,,,,4.0,3.0,,3.0,,5.0,,,5.0,3.0,,2.0,,,2.0,,,3.0,,4.0,3.0,,,,1.0,3.0,3.0,,,,,,5.0,,3.0,,5.0,4.0,,,,,5.0,2.0,,,,,,,,,5.0,,,3.0,,,,
1903967,,,,,,,4.0,4.0,,3.0,,,5.0,,3.0,,,5.0,4.0,,3.0,4.0,,,5.0,,,2.0,,3.0,,5.0,,,,4.0,1.0,,,1.0,,,3.0,4.0,,,,2.0,3.0,,,4.0,4.0,,,,,5.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,,,3.0,5.0,,5.0,,,,,,,5.0,,,,,5.0,,
2239090,,,,,5.0,,,,,3.0,3.0,,4.0,,4.0,,2.0,4.0,5.0,3.0,1.0,5.0,,5.0,5.0,,,2.0,,1.0,5.0,,,,5.0,5.0,,3.0,,1.0,3.0,3.0,3.0,4.0,,,2.0,3.0,5.0,,3.0,4.0,4.0,,,,,,,2.0,3.0,4.0,,,,,,1.0,1.0,5.0,,,,,,,,,5.0,,,,,,,
2138058,,,,,,,,,,3.0,,4.0,,,,4.0,,,,,3.0,4.0,,,5.0,,,,,3.0,,5.0,,,4.0,4.0,,,,4.0,4.0,,,5.0,,,,,,,3.0,5.0,5.0,,,,,,,,5.0,,,,,3.0,,,5.0,,,,,3.0,,,,,5.0,,,,,,,4.0
2121094,,,,,,,,,,4.0,,,,,5.0,,,,4.0,,4.0,5.0,,,,,,4.0,,3.0,,,,,,4.0,4.0,,,2.0,,,4.0,,,,,2.0,,,,4.0,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,4.0,,,5.0,,,,,,,
2262012,,,,,,,,,,4.0,4.0,,3.0,,5.0,,,,3.0,,2.0,5.0,,4.0,,,,4.0,,4.0,,,,,,5.0,4.0,,,2.0,,5.0,3.0,,,,3.0,4.0,2.0,,3.0,4.0,,,,,4.0,,,,4.0,,,4.0,4.0,,,,4.0,2.0,,,,,,3.0,,,2.0,,,,,,,
1676504,,5.0,,,,,,,5.0,5.0,3.0,,1.0,,,,3.0,2.0,4.0,4.0,4.0,4.0,,5.0,5.0,,5.0,5.0,3.0,5.0,5.0,,,,,3.0,4.0,,4.0,,,4.0,3.0,4.0,,5.0,4.0,,3.0,,2.0,4.0,3.0,,,,3.0,4.0,5.0,3.0,5.0,1.0,,2.0,3.0,,,,3.0,,,,,,,,,2.0,4.0,,,,,,,
1923271,5.0,,5.0,5.0,5.0,5.0,,,4.0,3.0,4.0,,4.0,5.0,5.0,,2.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,,,3.0,3.0,3.0,4.0,,,,4.0,4.0,3.0,,,3.0,2.0,,,5.0,,4.0,4.0,,5.0,5.0,4.0,5.0,5.0,,,4.0,5.0,4.0,,4.0,5.0,5.0,5.0,4.0,,,,,2.0,3.0,4.0,,,,,,,,5.0,,,,,,,
2172854,,,4.0,,,,,,,3.0,4.0,,5.0,,2.0,3.0,2.0,5.0,4.0,,4.0,5.0,,,4.0,,,3.0,,3.0,,4.0,,,,4.0,,,,,,,3.0,,,,,3.0,1.0,,1.0,3.0,,,,,,,,3.0,4.0,1.0,,3.0,,,,,4.0,,4.0,,,,,,,,5.0,,,,,,,
1979827,,,,,,,,,,5.0,,4.0,4.0,,,,,,3.0,,3.0,5.0,,,,,,2.0,,3.0,,4.0,,,3.0,3.0,,,,,,4.0,,4.0,,,,2.0,2.0,,4.0,4.0,4.0,,,,,,,,3.0,2.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,5.0,,
2137574,2.0,,4.0,,5.0,4.0,,,4.0,5.0,3.0,,3.0,5.0,5.0,,,,2.0,3.0,3.0,1.0,,4.0,4.0,,4.0,3.0,4.0,2.0,4.0,,,1.0,5.0,5.0,3.0,3.0,,3.0,,3.0,2.0,,,,,4.0,5.0,,,,,,,5.0,,4.0,5.0,5.0,2.0,3.0,,,4.0,,3.0,,5.0,,,,,,,4.0,,,,,,,,,4.0,
1675272,,,,,,,,,,1.0,,,,,3.0,3.0,,,,,5.0,5.0,,,4.0,,,,,4.0,,,,,,4.0,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,
2121126,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,5.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938816,,,,,,,,,,5.0,3.0,,4.0,3.0,3.0,,3.0,5.0,4.0,5.0,4.0,5.0,,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,,,3.0,4.0,4.0,3.0,4.0,,,,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,,1.0,4.0,4.0,,,,,5.0,5.0,4.0,5.0,1.0,,,5.0,,5.0,3.0,,5.0,4.0,,,,,,,,4.0,,,3.0,,,5.0,
1941999,,,,,,5.0,,,5.0,4.0,,,4.0,5.0,5.0,,,,,5.0,3.0,3.0,,,5.0,,5.0,4.0,1.0,3.0,3.0,,,,,3.0,5.0,,2.0,2.0,,4.0,3.0,4.0,5.0,5.0,3.0,3.0,,,3.0,4.0,,,,,4.0,4.0,5.0,5.0,4.0,,,4.0,3.0,,,,4.0,5.0,3.0,,,,,,,,,,,4.0,,,,
2141746,4.0,3.0,,3.0,4.0,4.0,,5.0,2.0,1.0,3.0,4.0,3.0,,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,,2.0,4.0,4.0,3.0,3.0,,5.0,3.0,5.0,,,4.0,3.0,3.0,4.0,3.0,5.0,,2.0,5.0,4.0,,5.0,4.0,3.0,4.0,,2.0,5.0,4.0,,3.0,,4.0,4.0,4.0,2.0,3.0,3.0,,4.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,,,4.0,,5.0,3.0,,4.0,4.0,,4.0,,4.0,3.0,
2163498,,,,,,,5.0,5.0,,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,,5.0,3.0,3.0,,4.0,,5.0,5.0,,2.0,3.0,5.0,3.0,,5.0,5.0,5.0,4.0,,4.0,,4.0,2.0,4.0,4.0,,,4.0,4.0,5.0,3.0,5.0,,,,3.0,,,,5.0,4.0,4.0,,4.0,2.0,,,,3.0,,4.0,,,,,,,,,,,4.0,,5.0,,
1960978,,5.0,4.0,5.0,4.0,5.0,,,5.0,4.0,,4.0,4.0,,3.0,,2.0,5.0,5.0,,3.0,4.0,,5.0,5.0,,,3.0,,,4.0,,,,5.0,4.0,,4.0,,1.0,4.0,3.0,,3.0,,,,,3.0,,,3.0,4.0,,,,3.0,5.0,,4.0,3.0,1.0,4.0,,,,,,3.0,3.0,3.0,,,,,,,,4.0,,,3.0,,,,
2064336,,,,,,,,,,4.0,3.0,,4.0,,3.0,4.0,5.0,3.0,5.0,5.0,,5.0,,,,,4.0,4.0,,,,4.0,,,,5.0,5.0,,,5.0,5.0,5.0,,5.0,4.0,,4.0,4.0,5.0,3.0,5.0,5.0,5.0,,,3.0,,,,3.0,5.0,5.0,,4.0,,,,,5.0,1.0,,,,,5.0,,,,,,,5.0,,,,
1879290,,,,,,,,,,4.0,,,,,3.0,,,,5.0,1.0,2.0,4.0,,4.0,,,4.0,5.0,4.0,4.0,4.0,,,,,4.0,5.0,,,,,4.0,5.0,4.0,,5.0,,4.0,,,,4.0,4.0,,,,,4.0,,5.0,5.0,,,4.0,5.0,,,,4.0,,,,,,,,,5.0,5.0,,,,,,,
2170116,3.0,,4.0,3.0,,,,,4.0,5.0,5.0,,5.0,,5.0,,4.0,4.0,5.0,4.0,4.0,3.0,4.0,,3.0,3.0,,4.0,4.0,4.0,5.0,3.0,,3.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,3.0,,5.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,,,2.0,4.0,3.0,,,,3.0,,,,,5.0,,,4.0,,,,
2170278,5.0,,,,,,5.0,5.0,,3.0,,,4.0,,,5.0,,5.0,,5.0,3.0,3.0,,,5.0,,,,,3.0,,,,,,3.0,,,,2.0,,,3.0,2.0,,4.0,,,5.0,,,4.0,,,,,,,,,4.0,5.0,,4.0,,,,,4.0,,,,,,,,,,4.0,,,,,2.0,,
2126280,5.0,,,,5.0,5.0,,,5.0,5.0,,5.0,,,,,5.0,5.0,5.0,,4.0,5.0,,,5.0,,,,,4.0,5.0,,,,5.0,5.0,,3.0,,4.0,3.0,,4.0,5.0,,,,5.0,3.0,,,4.0,5.0,,,,,,,,5.0,3.0,,4.0,,,,4.0,,,4.0,,,,,,,,,,,5.0,,,,
2340409,,,3.0,,,,,,,5.0,3.0,,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,,,3.0,,4.0,3.0,4.0,2.0,4.0,5.0,,,3.0,4.0,2.0,,,,,3.0,4.0,5.0,,4.0,4.0,,1.0,,2.0,1.0,5.0,,,,,,,,4.0,1.0,,,,,,4.0,4.0,,,,,,,,,,,,,5.0,,,,
2003272,,,,,2.0,,,,,,,,,,2.0,,,,3.0,1.0,1.0,3.0,,,3.0,,,3.0,,3.0,,2.0,,,1.0,3.0,3.0,,,2.0,2.0,2.0,3.0,4.0,,4.0,,1.0,,,,5.0,3.0,,,,,,,5.0,4.0,,,,4.0,,,,4.0,,,,,,,4.0,,,,,,,,,,
2168174,4.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0
2276658,,,5.0,,,4.0,,,,5.0,4.0,5.0,5.0,,5.0,,,3.0,,,5.0,5.0,,,3.0,5.0,,5.0,,4.0,,,,,,5.0,5.0,,,,,5.0,4.0,,,,,1.0,1.0,,,5.0,,,,,4.0,,5.0,5.0,2.0,2.0,,3.0,4.0,,,,4.0,3.0,,,,,,4.0,,,,3.0,,,,,,
2268860,5.0,,,,5.0,,,,,,,,5.0,,,,5.0,2.0,5.0,,,3.0,,,,4.0,,5.0,,5.0,5.0,2.0,,,5.0,1.0,5.0,,,4.0,3.0,2.0,5.0,,4.0,,,,2.0,,5.0,,,,,,5.0,,5.0,,4.0,3.0,,5.0,,5.0,,,5.0,,,4.0,,,4.0,,,3.0,,,,4.0,,,,
2167262,,,,,5.0,,4.0,5.0,,3.0,,,3.0,,5.0,5.0,4.0,4.0,3.0,5.0,2.0,4.0,,,3.0,,,3.0,5.0,2.0,5.0,5.0,,,,3.0,3.0,,,2.0,2.0,3.0,,,,4.0,4.0,,3.0,,3.0,,,,,,,,,,3.0,3.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,3.0,,
2268905,,,,,4.0,,,,,4.0,,5.0,,,,,,,,,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,5.0,,,,,,,,,,,,4.0,,
2139963,4.0,4.0,4.0,4.0,5.0,4.0,,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
2262431,,,,,,,,,,3.0,,,,,3.0,,4.0,,5.0,,4.0,4.0,,,,,,5.0,,5.0,,,,,4.0,4.0,4.0,,,4.0,,,5.0,,,,3.0,5.0,4.0,,4.0,5.0,,,,,,4.0,,,5.0,4.0,,5.0,,,,4.0,3.0,,,3.0,,,,4.0,,,4.0,,,4.0,,,,
2162129,3.0,,,,3.0,,,,,3.0,4.0,,2.0,3.0,4.0,,,,4.0,,2.0,2.0,,,,,,3.0,,2.0,3.0,,,,,3.0,3.0,,,2.0,,2.0,2.0,3.0,,,,4.0,,,4.0,4.0,,,,,,,,,4.0,,,4.0,2.0,,,,,,,,,,,,,,4.0,,,,,,,
2261644,3.0,2.0,,,2.0,,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,3.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,2.0
2236771,,,,,,,,,,4.0,,,3.0,5.0,4.0,,3.0,,5.0,5.0,3.0,5.0,,3.0,,,,3.0,,2.0,,,,,4.0,4.0,3.0,,,2.0,,5.0,4.0,,,,,,2.0,,2.0,4.0,,,,,,,,,3.0,2.0,,,3.0,,,,4.0,,,,,,,,,,3.0,,,,,,,
2133517,,,,,,3.0,,,,3.0,4.0,,,5.0,4.0,,,,2.0,,2.0,4.0,,4.0,,2.0,5.0,4.0,3.0,4.0,3.0,,,,,3.0,2.0,,,,,4.0,4.0,,,5.0,3.0,,3.0,,,4.0,,,,,4.0,5.0,,4.0,3.0,,,,3.0,,,,4.0,,,,,,,,,4.0,,,,,,,,
1965564,2.0,5.0,5.0,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,5.0,1.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,,1.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
1903943,,,,,,,,,,,,4.0,4.0,,,,,,2.0,,2.0,1.0,,,,,,,,,,4.0,,,4.0,3.0,,,,2.0,,,,,,,,,4.0,,3.0,3.0,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,
2010392,2.0,3.0,,,,,,,,1.0,,5.0,5.0,,5.0,,,,3.0,5.0,3.0,3.0,,4.0,5.0,,5.0,5.0,,2.0,,3.0,,,5.0,4.0,4.0,,,,,4.0,2.0,,,,,,4.0,,4.0,,,,,,4.0,,,,,4.0,,3.0,3.0,,,,,,,,,,,,,,,,,5.0,,,,
2139165,5.0,4.0,,4.0,5.0,,5.0,,5.0,,,,5.0,,,,4.0,4.0,4.0,,3.0,4.0,,,4.0,,,2.0,,3.0,,4.0,,,4.0,3.0,2.0,5.0,,,3.0,4.0,3.0,3.0,,,,,2.0,,,,3.0,,5.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,,,3.0,4.0,,,5.0,,,,,1.0,,,,,,,3.0,,3.0,,
1904065,5.0,,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,,2.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,,,,4.0,5.0,5.0,5.0,5.0,1.0,,3.0,2.0,,,1.0,4.0,5.0,3.0,,,2.0,,2.0,,3.0,4.0,,,2.0,,3.0,5.0,
2269865,,,,,,,,,,5.0,,,,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,,5.0,5.0,,1.0,5.0,5.0,,,5.0,4.0,3.0,,2.0,5.0,,4.0,4.0,5.0,,,2.0,3.0,1.0,,4.0,5.0,4.0,,,,,,,5.0,4.0,1.0,,3.0,,,,4.0,4.0,,5.0,,,,,,,,5.0,,,2.0,2.0,,,4.0
2134440,,4.0,,,5.0,,,,,5.0,,,,,4.0,,5.0,2.0,4.0,4.0,,4.0,,,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,5.0,5.0,4.0,5.0,5.0,,,5.0,5.0,2.0,,,4.0,4.0,,,,,,,5.0,5.0,4.0,,,,5.0,,,,4.0,,,,,,,,,4.0,3.0,5.0,5.0,,,,,
1963883,4.0,,2.0,4.0,5.0,,,3.0,,5.0,3.0,3.0,5.0,4.0,4.0,,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,,4.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,,4.0,,3.0,3.0,4.0,5.0,4.0,2.0,,5.0,4.0,,3.0,,3.0,4.0,,,,2.0,,4.0,,4.0,4.0,2.0,,3.0,,,,
2250219,,3.0,1.0,,5.0,,,,,3.0,,,5.0,5.0,5.0,,1.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,,,2.0,2.0,2.0,5.0,3.0,,,5.0,5.0,2.0,4.0,3.0,,1.0,,4.0,4.0,,2.0,1.0,,,5.0,,,3.0,,5.0,5.0,5.0,,5.0,,1.0,,5.0,3.0,,,,4.0,5.0,4.0,,,,,,,,,,,,,,,,2.0
2233586,3.0,,5.0,,5.0,,,3.0,,3.0,,5.0,4.0,5.0,5.0,4.0,,,4.0,4.0,5.0,5.0,,5.0,4.0,,3.0,5.0,5.0,3.0,,,,,,5.0,5.0,,,5.0,,5.0,4.0,5.0,,,5.0,5.0,5.0,,5.0,5.0,,,,,5.0,,5.0,5.0,4.0,4.0,,2.0,1.0,,,,,,,,,,,,,,5.0,,,5.0,,,,
2160504,,,4.0,,,,,,,2.0,,,3.0,,5.0,,2.0,,4.0,,3.0,4.0,,,,3.0,,5.0,4.0,3.0,,,,,5.0,2.0,4.0,,,2.0,,2.0,2.0,,,,2.0,4.0,4.0,,,5.0,,,,,2.0,,4.0,1.0,4.0,4.0,,1.0,3.0,,,,,,,,,,,1.0,,,5.0,,3.0,5.0,,,,
2039636,,,,,,,,,,5.0,,4.0,3.0,,5.0,,,,,3.0,5.0,5.0,,4.0,4.0,,5.0,5.0,,,2.0,,,,,,4.0,,,5.0,,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,
2073721,,,3.0,,,,,,,4.0,,,4.0,,1.0,,4.0,4.0,3.0,,5.0,3.0,,,,,,2.0,5.0,3.0,,5.0,,,5.0,4.0,2.0,5.0,,4.0,2.0,,3.0,5.0,5.0,,4.0,,2.0,,,5.0,5.0,,,,4.0,,,,2.0,2.0,,4.0,2.0,,,,2.0,,,,,2.0,,2.0,,,4.0,,,,,,5.0,
1903824,,,,,,,,,,4.0,,5.0,,,1.0,3.0,,,,,4.0,5.0,,,,,4.0,3.0,,2.0,,5.0,,,5.0,,3.0,,,,,,3.0,2.0,,,3.0,5.0,,,,,,,,,,,5.0,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,5.0,,
2136248,,,,,,,4.0,5.0,,2.0,,5.0,,,3.0,4.0,,,4.0,,4.0,4.0,,,,3.0,,4.0,,5.0,,4.0,,,,4.0,4.0,,,,,,5.0,2.0,,,,3.0,,,,5.0,,,,,4.0,,,,5.0,,,,3.0,,,,,4.0,,,,,,2.0,,,,,,,,5.0,4.0,4.0
2221044,,,,,,,4.0,4.0,,4.0,,5.0,,,2.0,,,,,,3.0,2.0,,,,,,3.0,,2.0,,4.0,,,,,3.0,,,3.0,,,4.0,,,4.0,5.0,3.0,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,
2167190,,5.0,,,4.0,4.0,,,,3.0,3.0,5.0,4.0,2.0,4.0,,2.0,4.0,3.0,4.0,5.0,3.0,,,5.0,,3.0,3.0,,2.0,,4.0,,,,3.0,,2.0,,5.0,,3.0,3.0,4.0,,4.0,4.0,,3.0,,2.0,3.0,,,,,,,,3.0,2.0,3.0,,,,,,,4.0,,,,,,,,,,4.0,,,,,4.0,,
2139236,,,,,,,,,,4.0,,,,,,,,,4.0,,5.0,,,,5.0,,,,,3.0,,5.0,,,,4.0,,,,5.0,,,,3.0,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,
